country,actual,continent,year,type,value,rank,direction,sex
Paraguay,South America,South America,2018,female_suicide,3.2,8,lowest,Female
Argentina,South America,South America,2018,female_suicide,3.6,9,lowest,Female
Trinidad and Tobago,South America,South America,2018,female_suicide,3.7,10,lowest,Female
Guyana,South America,South America,2017,both_suicide,38.5,1,highest,All
Suriname,South America,South America,2017,both_suicide,24.5,2,highest,All
Uruguay,South America,South America,2017,both_suicide,20.8,3,highest,All
Trinidad and Tobago,South America,South America,2017,both_suicide,9.5,4,highest,All
Chile,South America,South America,2017,both_suicide,9.3,5,highest,All
Ecuador,South America,South America,2017,both_suicide,9.2,6,highest,All
Argentina,South America,South America,2017,both_suicide,8.9,7,highest,All
Brazil,South America,South America,2017,both_suicide,6.6,8,highest,All
Paraguay,South America,South America,2017,both_suicide,6.1,9,highest,All
Colombia,South America,South America,2017,both_suicide,4.7,10,highest,All
Honduras,South America,South America,2017,both_suicide,2.1,1,lowest,All
Venezuela,South America,South America,2017,both_suicide,2.2,2,lowest,All
Peru,South America,South America,2017,both_suicide,2.7,3,lowest,All
Panama,South America,South America,2017,both_suicide,3.2,4,lowest,All
Colombia,South America,South America,2017,both_suicide,4.7,5,lowest,All
Paraguay,South America,South America,2017,both_suicide,6.1,6,lowest,All
Brazil,South America,South America,2017,both_suicide,6.6,7,lowest,All
Argentina,South America,South America,2017,both_suicide,8.9,8,lowest,All
Ecuador,South America,South America,2017,both_suicide,9.2,9,lowest,All
Chile,South America,South America,2017,both_suicide,9.3,10,lowest,All
Guyana,South America,South America,2017,male_suicide,60.1,1,highest,Male
Suriname,South America,South America,2017,male_suicide,37.2,2,highest,Male
Uruguay,South America,South America,2017,male_suicide,33.8,3,highest,Male
Chile,South America,South America,2017,male_suicide,15.5,4,highest,Male
Trinidad and Tobago,South America,South America,2017,male_suicide,15.1,5,highest,Male
Argentina,South America,South America,2017,male_suicide,14.5,6,highest,Male
Ecuador,South America,South America,2017,male_suicide,14.1,7,highest,Male
Brazil,South America,South America,2017,male_suicide,10.3,8,highest,Male
Paraguay,South America,South America,2017,male_suicide,8.6,9,highest,Male
Colombia,South America,South America,2017,male_suicide,7.6,10,highest,Male
Honduras,South America,South America,2017,male_suicide,3.3,1,lowest,Male
Venezuela,South America,South America,2017,male_suicide,3.6,2,lowest,Male
Peru,South America,South America,2017,male_suicide,4.1,3,lowest,Male
Panama,South America,South America,2017,male_suicide,5.4,4,lowest,Male
Colombia,South America,South America,2017,male_suicide,7.6,5,lowest,Male
Paraguay,South America,South America,2017,male_suicide,8.6,6,lowest,Male
Brazil,South America,South America,2017,male_suicide,10.3,7,lowest,Male
Ecuador,South America,South America,2017,male_suicide,14.1,8,lowest,Male
Argentina,South America,South America,2017,male_suicide,14.5,9,lowest,Male
Trinidad and Tobago,South America,South America,2017,male_suicide,15.1,10,lowest,Male
Guyana,South America,South America,2017,female_suicide,16.7,1,highest,Female
Suriname,South America,South America,2017,female_suicide,11.6,2,highest,Female
Uruguay,South America,South America,2017,female_suicide,8.6,3,highest,Female
Ecuador,South America,South America,2017,female_suicide,4.3,4,highest,Female
Trinidad and Tobago,South America,South America,2017,female_suicide,4.1,5,highest,Female
Argentina,South America,South America,2017,female_suicide,3.5,6,highest,Female
Paraguay,South America,South America,2017,female_suicide,3.4,7,highest,Female
Chile,South America,South America,2017,female_suicide,3.2,8,highest,Female
Brazil,South America,South America,2017,female_suicide,3,9,highest,Female
Colombia,South America,South America,2017,female_suicide,1.9,10,highest,Female
Venezuela,South America,South America,2017,female_suicide,0.7,1,lowest,Female
Honduras,South America,South America,2017,female_suicide,0.8,2,lowest,Female
Panama,South America,South America,2017,female_suicide,0.9,3,lowest,Female
Peru,South America,South America,2017,female_suicide,1.4,4,lowest,Female
Colombia,South America,South America,2017,female_suicide,1.9,5,lowest,Female
Brazil,South America,South America,2017,female_suicide,3,6,lowest,Female
Chile,South America,South America,2017,female_suicide,3.2,7,lowest,Female
Paraguay,South America,South America,2017,female_suicide,3.4,8,lowest,Female
Argentina,South America,South America,2017,female_suicide,3.5,9,lowest,Female
Trinidad and Tobago,South America,South America,2017,female_suicide,4.1,10,lowest,Female
Guyana,South America,South America,2016,both_suicide,37.9,1,highest,All
Suriname,South America,South America,2016,both_suicide,24.4,2,highest,All
Uruguay,South America,South America,2016,both_suicide,21.1,3,highest,All
Chile,South America,South America,2016,both_suicide,10,4,highest,All
Trinidad and Tobago,South America,South America,2016,both_suicide,9.8,5,highest,All
Ecuador,South America,South America,2016,both_suicide,9,6,highest,All
Argentina,South America,South America,2016,both_suicide,8.3,7,highest,All
Brazil,South America,South America,2016,both_suicide,6,8,highest,All
Paraguay,South America,South America,2016,both_suicide,5.3,9,highest,All
Colombia,South America,South America,2016,both_suicide,4.2,10,highest,All
Honduras,South America,South America,2016,both_suicide,2,1,lowest,All
Venezuela,South America,South America,2016,both_suicide,2.2,2,lowest,All
Peru,South America,South America,2016,both_suicide,2.6,3,lowest,All
Panama,South America,South America,2016,both_suicide,3.3,4,lowest,All
Colombia,South America,South America,2016,both_suicide,4.2,5,lowest,All
Paraguay,South America,South America,2016,both_suicide,5.3,6,lowest,All
Brazil,South America,South America,2016,both_suicide,6,7,lowest,All
Argentina,South America,South America,2016,both_suicide,8.3,8,lowest,All
Ecuador,South America,South America,2016,both_suicide,9,9,lowest,All
Trinidad and Tobago,South America,South America,2016,both_suicide,9.8,10,lowest,All
Guyana,South America,South America,2016,male_suicide,59.3,1,highest,Male
Suriname,South America,South America,2016,male_suicide,37.1,2,highest,Male
Uruguay,South America,South America,2016,male_suicide,33.5,3,highest,Male
Chile,South America,South America,2016,male_suicide,16.8,4,highest,Male
Trinidad and Tobago,South America,South America,2016,male_suicide,15.6,5,highest,Male
Argentina,South America,South America,2016,male_suicide,13.7,6,highest,Male
Ecuador,South America,South America,2016,male_suicide,13.6,7,highest,Male
Brazil,South America,South America,2016,male_suicide,9.4,8,highest,Male
Paraguay,South America,South America,2016,male_suicide,7.7,9,highest,Male
Colombia,South America,South America,2016,male_suicide,6.9,10,highest,Male
Honduras,South America,South America,2016,male_suicide,3.2,1,lowest,Male
Venezuela,South America,South America,2016,male_suicide,3.6,2,lowest,Male
Peru,South America,South America,2016,male_suicide,3.9,3,lowest,Male
Panama,South America,South America,2016,male_suicide,5.5,4,lowest,Male
Colombia,South America,South America,2016,male_suicide,6.9,5,lowest,Male
Paraguay,South America,South America,2016,male_suicide,7.7,6,lowest,Male
Brazil,South America,South America,2016,male_suicide,9.4,7,lowest,Male
Ecuador,South America,South America,2016,male_suicide,13.6,8,lowest,Male
Argentina,South America,South America,2016,male_suicide,13.7,9,lowest,Male
Trinidad and Tobago,South America,South America,2016,male_suicide,15.6,10,lowest,Male
Guyana,South America,South America,2016,female_suicide,16.4,1,highest,Female
Suriname,South America,South America,2016,female_suicide,11.6,2,highest,Female
Uruguay,South America,South America,2016,female_suicide,9.6,3,highest,Female
Ecuador,South America,South America,2016,female_suicide,4.3,4,highest,Female
Trinidad and Tobago,South America,South America,2016,female_suicide,4.2,5,highest,Female
Chile,South America,South America,2016,female_suicide,3.4,6,highest,Female
Argentina,South America,South America,2016,female_suicide,3.1,7,highest,Female
Paraguay,South America,South America,2016,female_suicide,2.8,8,highest,Female
Brazil,South America,South America,2016,female_suicide,2.7,9,highest,Female
Colombia,South America,South America,2016,female_suicide,1.6,10,highest,Female
Honduras,South America,South America,2016,female_suicide,0.8,1,lowest,Female
Venezuela,South America,South America,2016,female_suicide,0.8,2,lowest,Female
Panama,South America,South America,2016,female_suicide,1,3,lowest,Female
Peru,South America,South America,2016,female_suicide,1.4,4,lowest,Female
Colombia,South America,South America,2016,female_suicide,1.6,5,lowest,Female
Brazil,South America,South America,2016,female_suicide,2.7,6,lowest,Female
Paraguay,South America,South America,2016,female_suicide,2.8,7,lowest,Female
Argentina,South America,South America,2016,female_suicide,3.1,8,lowest,Female
Chile,South America,South America,2016,female_suicide,3.4,9,lowest,Female
Trinidad and Tobago,South America,South America,2016,female_suicide,4.2,10,lowest,Female
Guyana,South America,South America,2015,both_suicide,37.3,1,highest,All
Suriname,South America,South America,2015,both_suicide,24.8,2,highest,All
Uruguay,South America,South America,2015,both_suicide,18.6,3,highest,All
Trinidad and Tobago,South America,South America,2015,both_suicide,10.2,4,highest,All
Chile,South America,South America,2015,both_suicide,10,5,highest,All
Ecuador,South America,South America,2015,both_suicide,8.8,6,highest,All
Argentina,South America,South America,2015,both_suicide,8.3,7,highest,All
Brazil,South America,South America,2015,both_suicide,5.9,8,highest,All
Paraguay,South America,South America,2015,both_suicide,5.7,9,highest,All
Colombia,South America,South America,2015,both_suicide,4.1,10,highest,All
Venezuela,South America,South America,2015,both_suicide,2.3,1,lowest,All
Peru,South America,South America,2015,both_suicide,2.7,2,lowest,All
Panama,South America,South America,2015,both_suicide,2.9,3,lowest,All
Honduras,South America,South America,2015,both_suicide,4,4,lowest,All
Colombia,South America,South America,2015,both_suicide,4.1,5,lowest,All
Paraguay,South America,South America,2015,both_suicide,5.7,6,lowest,All
Brazil,South America,South America,2015,both_suicide,5.9,7,lowest,All
Argentina,South America,South America,2015,both_suicide,8.3,8,lowest,All
Ecuador,South America,South America,2015,both_suicide,8.8,9,lowest,All
Chile,South America,South America,2015,both_suicide,10,10,lowest,All
Guyana,South America,South America,2015,male_suicide,58.5,1,highest,Male
Suriname,South America,South America,2015,male_suicide,37.8,2,highest,Male
Uruguay,South America,South America,2015,male_suicide,30.4,3,highest,Male
Trinidad and Tobago,South America,South America,2015,male_suicide,16.2,4,highest,Male
Chile,South America,South America,2015,male_suicide,16,5,highest,Male
Argentina,South America,South America,2015,male_suicide,13.6,6,highest,Male
Ecuador,South America,South America,2015,male_suicide,13.3,7,highest,Male
Brazil,South America,South America,2015,male_suicide,9.1,8,highest,Male
Paraguay,South America,South America,2015,male_suicide,8.2,9,highest,Male
Honduras,South America,South America,2015,male_suicide,7.2,10,highest,Male
Venezuela,South America,South America,2015,male_suicide,3.8,1,lowest,Male
Peru,South America,South America,2015,male_suicide,4,2,lowest,Male
Panama,South America,South America,2015,male_suicide,4.7,3,lowest,Male
Colombia,South America,South America,2015,male_suicide,6.5,4,lowest,Male
Honduras,South America,South America,2015,male_suicide,7.2,5,lowest,Male
Paraguay,South America,South America,2015,male_suicide,8.2,6,lowest,Male
Brazil,South America,South America,2015,male_suicide,9.1,7,lowest,Male
Ecuador,South America,South America,2015,male_suicide,13.3,8,lowest,Male
Argentina,South America,South America,2015,male_suicide,13.6,9,lowest,Male
Chile,South America,South America,2015,male_suicide,16,10,lowest,Male
Guyana,South America,South America,2015,female_suicide,16.2,1,highest,Female
Suriname,South America,South America,2015,female_suicide,11.6,2,highest,Female
Uruguay,South America,South America,2015,female_suicide,7.7,3,highest,Female
Ecuador,South America,South America,2015,female_suicide,4.3,4,highest,Female
Trinidad and Tobago,South America,South America,2015,female_suicide,4.3,5,highest,Female
Chile,South America,South America,2015,female_suicide,4.1,6,highest,Female
Argentina,South America,South America,2015,female_suicide,3.3,7,highest,Female
Paraguay,South America,South America,2015,female_suicide,3.2,8,highest,Female
Brazil,South America,South America,2015,female_suicide,2.8,9,highest,Female
Colombia,South America,South America,2015,female_suicide,1.9,10,highest,Female
Honduras,South America,South America,2015,female_suicide,0.8,1,lowest,Female
Venezuela,South America,South America,2015,female_suicide,0.8,2,lowest,Female
Panama,South America,South America,2015,female_suicide,1.1,3,lowest,Female
Peru,South America,South America,2015,female_suicide,1.5,4,lowest,Female
Colombia,South America,South America,2015,female_suicide,1.9,5,lowest,Female
Brazil,South America,South America,2015,female_suicide,2.8,6,lowest,Female
Paraguay,South America,South America,2015,female_suicide,3.2,7,lowest,Female
Argentina,South America,South America,2015,female_suicide,3.3,8,lowest,Female
Chile,South America,South America,2015,female_suicide,4.1,9,lowest,Female
Ecuador,South America,South America,2015,female_suicide,4.3,10,lowest,Female
Guyana,South America,South America,2014,both_suicide,37.2,1,highest,All
Suriname,South America,South America,2014,both_suicide,24.7,2,highest,All
Uruguay,South America,South America,2014,both_suicide,17.4,3,highest,All
Trinidad and Tobago,South America,South America,2014,both_suicide,10.5,4,highest,All
Chile,South America,South America,2014,both_suicide,9.9,5,highest,All
Argentina,South America,South America,2014,both_suicide,9.3,6,highest,All
Ecuador,South America,South America,2014,both_suicide,8.8,7,highest,All
Paraguay,South America,South America,2014,both_suicide,5.9,8,highest,All
Brazil,South America,South America,2014,both_suicide,5.6,9,highest,All
Panama,South America,South America,2014,both_suicide,4.1,10,highest,All
Venezuela,South America,South America,2014,both_suicide,2.1,1,lowest,All
Peru,South America,South America,2014,both_suicide,2.9,2,lowest,All
Honduras,South America,South America,2014,both_suicide,3.4,3,lowest,All
Colombia,South America,South America,2014,both_suicide,3.8,4,lowest,All
Panama,South America,South America,2014,both_suicide,4.1,5,lowest,All
Brazil,South America,South America,2014,both_suicide,5.6,6,lowest,All
Paraguay,South America,South America,2014,both_suicide,5.9,7,lowest,All
Ecuador,South America,South America,2014,both_suicide,8.8,8,lowest,All
Argentina,South America,South America,2014,both_suicide,9.3,9,lowest,All
Chile,South America,South America,2014,both_suicide,9.9,10,lowest,All
Guyana,South America,South America,2014,male_suicide,60.6,1,highest,Male
Suriname,South America,South America,2014,male_suicide,37.7,2,highest,Male
Uruguay,South America,South America,2014,male_suicide,27.6,3,highest,Male
Trinidad and Tobago,South America,South America,2014,male_suicide,16.8,4,highest,Male
Chile,South America,South America,2014,male_suicide,16.4,5,highest,Male
Argentina,South America,South America,2014,male_suicide,15.1,6,highest,Male
Ecuador,South America,South America,2014,male_suicide,13,7,highest,Male
Brazil,South America,South America,2014,male_suicide,8.8,8,highest,Male
Paraguay,South America,South America,2014,male_suicide,7.8,9,highest,Male
Panama,South America,South America,2014,male_suicide,7,10,highest,Male
Venezuela,South America,South America,2014,male_suicide,3.6,1,lowest,Male
Peru,South America,South America,2014,male_suicide,4.3,2,lowest,Male
Honduras,South America,South America,2014,male_suicide,6.1,3,lowest,Male
Colombia,South America,South America,2014,male_suicide,6.2,4,lowest,Male
Panama,South America,South America,2014,male_suicide,7,5,lowest,Male
Paraguay,South America,South America,2014,male_suicide,7.8,6,lowest,Male
Brazil,South America,South America,2014,male_suicide,8.8,7,lowest,Male
Ecuador,South America,South America,2014,male_suicide,13,8,lowest,Male
Argentina,South America,South America,2014,male_suicide,15.1,9,lowest,Male
Chile,South America,South America,2014,male_suicide,16.4,10,lowest,Male
Guyana,South America,South America,2014,female_suicide,13.9,1,highest,Female
Suriname,South America,South America,2014,female_suicide,11.5,2,highest,Female
Uruguay,South America,South America,2014,female_suicide,7.9,3,highest,Female
Ecuador,South America,South America,2014,female_suicide,4.5,4,highest,Female
Trinidad and Tobago,South America,South America,2014,female_suicide,4.4,5,highest,Female
Paraguay,South America,South America,2014,female_suicide,3.8,6,highest,Female
Argentina,South America,South America,2014,female_suicide,3.7,7,highest,Female
Chile,South America,South America,2014,female_suicide,3.5,8,highest,Female
Brazil,South America,South America,2014,female_suicide,2.5,9,highest,Female
Peru,South America,South America,2014,female_suicide,1.6,10,highest,Female
Venezuela,South America,South America,2014,female_suicide,0.7,1,lowest,Female
Honduras,South America,South America,2014,female_suicide,0.8,2,lowest,Female
Panama,South America,South America,2014,female_suicide,1.1,3,lowest,Female
Colombia,South America,South America,2014,female_suicide,1.4,4,lowest,Female
Peru,South America,South America,2014,female_suicide,1.6,5,lowest,Female
Brazil,South America,South America,2014,female_suicide,2.5,6,lowest,Female
Chile,South America,South America,2014,female_suicide,3.5,7,lowest,Female
Argentina,South America,South America,2014,female_suicide,3.7,8,lowest,Female
Paraguay,South America,South America,2014,female_suicide,3.8,9,lowest,Female
Trinidad and Tobago,South America,South America,2014,female_suicide,4.4,10,lowest,Female
Guyana,South America,South America,2013,both_suicide,38.2,1,highest,All
Suriname,South America,South America,2013,both_suicide,25.1,2,highest,All
Uruguay,South America,South America,2013,both_suicide,15.8,3,highest,All
Trinidad and Tobago,South America,South America,2013,both_suicide,10.9,4,highest,All
Chile,South America,South America,2013,both_suicide,9.8,5,highest,All
Ecuador,South America,South America,2013,both_suicide,9.6,6,highest,All
Argentina,South America,South America,2013,both_suicide,8.6,7,highest,All
Brazil,South America,South America,2013,both_suicide,5.6,8,highest,All
Paraguay,South America,South America,2013,both_suicide,4.9,9,highest,All
Colombia,South America,South America,2013,both_suicide,3.7,10,highest,All
Venezuela,South America,South America,2013,both_suicide,2.5,1,lowest,All
Peru,South America,South America,2013,both_suicide,3.1,2,lowest,All
Honduras,South America,South America,2013,both_suicide,3.2,3,lowest,All
Panama,South America,South America,2013,both_suicide,3.4,4,lowest,All
Colombia,South America,South America,2013,both_suicide,3.7,5,lowest,All
Paraguay,South America,South America,2013,both_suicide,4.9,6,lowest,All
Brazil,South America,South America,2013,both_suicide,5.6,7,lowest,All
Argentina,South America,South America,2013,both_suicide,8.6,8,lowest,All
Ecuador,South America,South America,2013,both_suicide,9.6,9,lowest,All
Chile,South America,South America,2013,both_suicide,9.8,10,lowest,All
Guyana,South America,South America,2013,male_suicide,59.3,1,highest,Male
Suriname,South America,South America,2013,male_suicide,38.5,2,highest,Male
Uruguay,South America,South America,2013,male_suicide,25.1,3,highest,Male
Trinidad and Tobago,South America,South America,2013,male_suicide,17.3,4,highest,Male
Chile,South America,South America,2013,male_suicide,16.2,5,highest,Male
Argentina,South America,South America,2013,male_suicide,14.2,6,highest,Male
Ecuador,South America,South America,2013,male_suicide,14.2,7,highest,Male
Brazil,South America,South America,2013,male_suicide,8.6,8,highest,Male
Paraguay,South America,South America,2013,male_suicide,7,9,highest,Male
Panama,South America,South America,2013,male_suicide,6.2,10,highest,Male
Venezuela,South America,South America,2013,male_suicide,4.1,1,lowest,Male
Peru,South America,South America,2013,male_suicide,4.6,2,lowest,Male
Honduras,South America,South America,2013,male_suicide,5.7,3,lowest,Male
Colombia,South America,South America,2013,male_suicide,5.9,4,lowest,Male
Panama,South America,South America,2013,male_suicide,6.2,5,lowest,Male
Paraguay,South America,South America,2013,male_suicide,7,6,lowest,Male
Brazil,South America,South America,2013,male_suicide,8.6,7,lowest,Male
Argentina,South America,South America,2013,male_suicide,14.2,8,lowest,Male
Ecuador,South America,South America,2013,male_suicide,14.2,9,lowest,Male
Chile,South America,South America,2013,male_suicide,16.2,10,lowest,Male
Guyana,South America,South America,2013,female_suicide,17.4,1,highest,Female
Suriname,South America,South America,2013,female_suicide,11.5,2,highest,Female
Uruguay,South America,South America,2013,female_suicide,7.2,3,highest,Female
Ecuador,South America,South America,2013,female_suicide,4.9,4,highest,Female
Trinidad and Tobago,South America,South America,2013,female_suicide,4.6,5,highest,Female
Chile,South America,South America,2013,female_suicide,3.6,6,highest,Female
Argentina,South America,South America,2013,female_suicide,3.2,7,highest,Female
Paraguay,South America,South America,2013,female_suicide,2.8,8,highest,Female
Brazil,South America,South America,2013,female_suicide,2.6,9,highest,Female
Peru,South America,South America,2013,female_suicide,1.7,10,highest,Female
Panama,South America,South America,2013,female_suicide,0.7,1,lowest,Female
Honduras,South America,South America,2013,female_suicide,0.8,2,lowest,Female
Venezuela,South America,South America,2013,female_suicide,0.8,3,lowest,Female
Colombia,South America,South America,2013,female_suicide,1.5,4,lowest,Female
Peru,South America,South America,2013,female_suicide,1.7,5,lowest,Female
Brazil,South America,South America,2013,female_suicide,2.6,6,lowest,Female
Paraguay,South America,South America,2013,female_suicide,2.8,7,lowest,Female
Argentina,South America,South America,2013,female_suicide,3.2,8,lowest,Female
Chile,South America,South America,2013,female_suicide,3.6,9,lowest,Female
Trinidad and Tobago,South America,South America,2013,female_suicide,4.6,10,lowest,Female
Guyana,South America,South America,2012,both_suicide,35,1,highest,All
Suriname,South America,South America,2012,both_suicide,25.2,2,highest,All
Uruguay,South America,South America,2012,both_suicide,17.8,3,highest,All
Chile,South America,South America,2012,both_suicide,10.5,4,highest,All
Ecuador,South America,South America,2012,both_suicide,10.1,5,highest,All
Trinidad and Tobago,South America,South America,2012,both_suicide,9.5,6,highest,All
Argentina,South America,South America,2012,both_suicide,9.1,7,highest,All
Brazil,South America,South America,2012,both_suicide,5.4,8,highest,All
Paraguay,South America,South America,2012,both_suicide,4.6,9,highest,All
Colombia,South America,South America,2012,both_suicide,3.8,10,highest,All
Peru,South America,South America,2012,both_suicide,3.2,1,lowest,All
Venezuela,South America,South America,2012,both_suicide,3.2,2,lowest,All
Honduras,South America,South America,2012,both_suicide,3.3,3,lowest,All
Panama,South America,South America,2012,both_suicide,3.6,4,lowest,All
Colombia,South America,South America,2012,both_suicide,3.8,5,lowest,All
Paraguay,South America,South America,2012,both_suicide,4.6,6,lowest,All
Brazil,South America,South America,2012,both_suicide,5.4,7,lowest,All
Argentina,South America,South America,2012,both_suicide,9.1,8,lowest,All
Trinidad and Tobago,South America,South America,2012,both_suicide,9.5,9,lowest,All
Ecuador,South America,South America,2012,both_suicide,10.1,10,lowest,All
Guyana,South America,South America,2012,male_suicide,54.6,1,highest,Male
Suriname,South America,South America,2012,male_suicide,39,2,highest,Male
Uruguay,South America,South America,2012,male_suicide,29.4,3,highest,Male
Chile,South America,South America,2012,male_suicide,17.5,4,highest,Male
Argentina,South America,South America,2012,male_suicide,15.1,5,highest,Male
Ecuador,South America,South America,2012,male_suicide,15,6,highest,Male
Trinidad and Tobago,South America,South America,2012,male_suicide,14.2,7,highest,Male
Brazil,South America,South America,2012,male_suicide,8.2,8,highest,Male
Panama,South America,South America,2012,male_suicide,6.3,9,highest,Male
Colombia,South America,South America,2012,male_suicide,6.2,10,highest,Male
Peru,South America,South America,2012,male_suicide,4.7,1,lowest,Male
Venezuela,South America,South America,2012,male_suicide,5.5,2,lowest,Male
Honduras,South America,South America,2012,male_suicide,5.8,3,lowest,Male
Paraguay,South America,South America,2012,male_suicide,5.9,4,lowest,Male
Colombia,South America,South America,2012,male_suicide,6.2,5,lowest,Male
Panama,South America,South America,2012,male_suicide,6.3,6,lowest,Male
Brazil,South America,South America,2012,male_suicide,8.2,7,lowest,Male
Trinidad and Tobago,South America,South America,2012,male_suicide,14.2,8,lowest,Male
Ecuador,South America,South America,2012,male_suicide,15,9,lowest,Male
Argentina,South America,South America,2012,male_suicide,15.1,10,lowest,Male
Guyana,South America,South America,2012,female_suicide,15.7,1,highest,Female
Suriname,South America,South America,2012,female_suicide,11.3,2,highest,Female
Uruguay,South America,South America,2012,female_suicide,7.1,3,highest,Female
Ecuador,South America,South America,2012,female_suicide,5.2,4,highest,Female
Trinidad and Tobago,South America,South America,2012,female_suicide,4.9,5,highest,Female
Chile,South America,South America,2012,female_suicide,3.8,6,highest,Female
Argentina,South America,South America,2012,female_suicide,3.5,7,highest,Female
Paraguay,South America,South America,2012,female_suicide,3.2,8,highest,Female
Brazil,South America,South America,2012,female_suicide,2.6,9,highest,Female
Peru,South America,South America,2012,female_suicide,1.8,10,highest,Female
Honduras,South America,South America,2012,female_suicide,0.8,1,lowest,Female
Panama,South America,South America,2012,female_suicide,0.9,2,lowest,Female
Venezuela,South America,South America,2012,female_suicide,0.9,3,lowest,Female
Colombia,South America,South America,2012,female_suicide,1.5,4,lowest,Female
Peru,South America,South America,2012,female_suicide,1.8,5,lowest,Female
Brazil,South America,South America,2012,female_suicide,2.6,6,lowest,Female
Paraguay,South America,South America,2012,female_suicide,3.2,7,lowest,Female
Argentina,South America,South America,2012,female_suicide,3.5,8,lowest,Female
Chile,South America,South America,2012,female_suicide,3.8,9,lowest,Female
Trinidad and Tobago,South America,South America,2012,female_suicide,4.9,10,lowest,Female
Guyana,South America,South America,2011,both_suicide,32.6,1,highest,All
Suriname,South America,South America,2011,both_suicide,24.3,2,highest,All
Uruguay,South America,South America,2011,both_suicide,16.8,3,highest,All
Chile,South America,South America,2011,both_suicide,11.7,4,highest,All
Trinidad and Tobago,South America,South America,2011,both_suicide,9.9,5,highest,All
Ecuador,South America,South America,2011,both_suicide,9.8,6,highest,All
Argentina,South America,South America,2011,both_suicide,8.5,7,highest,All
Brazil,South America,South America,2011,both_suicide,5.2,8,highest,All
Paraguay,South America,South America,2011,both_suicide,4.6,9,highest,All
Panama,South America,South America,2011,both_suicide,3.8,10,highest,All
Honduras,South America,South America,2011,both_suicide,1.9,1,lowest,All
Peru,South America,South America,2011,both_suicide,3.3,2,lowest,All
Venezuela,South America,South America,2011,both_suicide,3.6,3,lowest,All
Colombia,South America,South America,2011,both_suicide,3.7,4,lowest,All
Panama,South America,South America,2011,both_suicide,3.8,5,lowest,All
Paraguay,South America,South America,2011,both_suicide,4.6,6,lowest,All
Brazil,South America,South America,2011,both_suicide,5.2,7,lowest,All
Argentina,South America,South America,2011,both_suicide,8.5,8,lowest,All
Ecuador,South America,South America,2011,both_suicide,9.8,9,lowest,All
Trinidad and Tobago,South America,South America,2011,both_suicide,9.9,10,lowest,All
Guyana,South America,South America,2011,male_suicide,51,1,highest,Male
Suriname,South America,South America,2011,male_suicide,37.2,2,highest,Male
Uruguay,South America,South America,2011,male_suicide,26.9,3,highest,Male
Chile,South America,South America,2011,male_suicide,19.4,4,highest,Male
Trinidad and Tobago,South America,South America,2011,male_suicide,15.9,5,highest,Male
Ecuador,South America,South America,2011,male_suicide,14.3,6,highest,Male
Argentina,South America,South America,2011,male_suicide,14,7,highest,Male
Brazil,South America,South America,2011,male_suicide,8,8,highest,Male
Panama,South America,South America,2011,male_suicide,6.4,9,highest,Male
Paraguay,South America,South America,2011,male_suicide,6.4,10,highest,Male
Honduras,South America,South America,2011,male_suicide,3.1,1,lowest,Male
Peru,South America,South America,2011,male_suicide,4.8,2,lowest,Male
Colombia,South America,South America,2011,male_suicide,5.9,3,lowest,Male
Venezuela,South America,South America,2011,male_suicide,6.3,4,lowest,Male
Panama,South America,South America,2011,male_suicide,6.4,5,lowest,Male
Paraguay,South America,South America,2011,male_suicide,6.4,6,lowest,Male
Brazil,South America,South America,2011,male_suicide,8,7,lowest,Male
Argentina,South America,South America,2011,male_suicide,14,8,lowest,Male
Ecuador,South America,South America,2011,male_suicide,14.3,9,lowest,Male
Trinidad and Tobago,South America,South America,2011,male_suicide,15.9,10,lowest,Male
Guyana,South America,South America,2011,female_suicide,14.5,1,highest,Female
Suriname,South America,South America,2011,female_suicide,11.2,2,highest,Female
Uruguay,South America,South America,2011,female_suicide,7.4,3,highest,Female
Ecuador,South America,South America,2011,female_suicide,5.3,4,highest,Female
Chile,South America,South America,2011,female_suicide,4.2,5,highest,Female
Trinidad and Tobago,South America,South America,2011,female_suicide,4.1,6,highest,Female
Argentina,South America,South America,2011,female_suicide,3.3,7,highest,Female
Paraguay,South America,South America,2011,female_suicide,2.7,8,highest,Female
Brazil,South America,South America,2011,female_suicide,2.5,9,highest,Female
Peru,South America,South America,2011,female_suicide,1.8,10,highest,Female
Honduras,South America,South America,2011,female_suicide,0.8,1,lowest,Female
Venezuela,South America,South America,2011,female_suicide,0.9,2,lowest,Female
Panama,South America,South America,2011,female_suicide,1.2,3,lowest,Female
Colombia,South America,South America,2011,female_suicide,1.5,4,lowest,Female
Peru,South America,South America,2011,female_suicide,1.8,5,lowest,Female
Brazil,South America,South America,2011,female_suicide,2.5,6,lowest,Female
Paraguay,South America,South America,2011,female_suicide,2.7,7,lowest,Female
Argentina,South America,South America,2011,female_suicide,3.3,8,lowest,Female
Trinidad and Tobago,South America,South America,2011,female_suicide,4.1,9,lowest,Female
Chile,South America,South America,2011,female_suicide,4.2,10,lowest,Female
Guyana,South America,South America,2010,both_suicide,33.3,1,highest,All
Suriname,South America,South America,2010,both_suicide,25.5,2,highest,All
Uruguay,South America,South America,2010,both_suicide,16,3,highest,All
Chile,South America,South America,2010,both_suicide,11.6,4,highest,All
Trinidad and Tobago,South America,South America,2010,both_suicide,11.3,5,highest,All
